Wavelength (nm),Reflectance
705,48.822034
706,48.782178
707,48.735864
708,48.798376
709,48.814644
710,48.80214
711,48.805258
712,48.788
713,48.77131
714,48.742568
715,48.792859
716,48.820604
717,48.803291
718,48.790489
719,48.781973
720,48.786833
721,48.796694
722,48.786939
723,48.793219
724,48.781781
725,48.726482
726,48.77407
727,48.760307
728,48.761701
729,48.778904
730,48.819632
731,48.81622
732,48.804228
733,48.797972
734,48.75203
735,48.7079
736,48.797498
737,48.783389
738,48.767258
739,48.777227
740,48.718542
741,48.816492
742,48.74358
743,48.702773
744,48.715847
745,48.725965
746,48.680414
747,48.7403
748,48.709426
749,48.71778
750,48.756355
751,48.749149
752,48.742367
753,48.716819
754,48.858484
755,48.735756
756,48.735173
757,48.790095
758,48.762792
759,48.758794
760,48.761744
761,48.854291
762,48.788249
763,48.773682
764,48.698095
765,48.702501
766,48.766943
767,48.888948
768,48.841963
769,48.795017
770,48.76593
771,48.759821
772,48.753461
773,48.776467
774,48.742771
775,48.760796
776,48.674254
777,48.761153
778,48.763679
779,48.79558
780,48.68229
781,48.793194
782,48.794083
783,48.717196
784,48.723229
785,48.773601
786,48.777928
787,48.710835
788,48.740258
789,48.702232
790,48.689636
791,48.71094
792,48.883474
793,48.852829
794,48.831846
795,48.682758
796,48.766773
797,48.807332
798,48.715845
799,48.790745
800,48.752849
801,48.760534
802,48.833629
803,48.76366
804,48.914618
805,48.77223
806,48.765341
807,48.733947
808,48.710275
809,48.85523
810,48.694376
811,48.767581
812,48.640435
813,48.759008
814,48.712641
815,48.772458
816,48.700501
817,48.811982
818,48.756295
819,48.781304
820,48.70058
821,48.696793
822,48.697703
823,48.703654
824,48.680882
825,48.687001
826,48.648107
827,48.689181
828,48.68419
829,48.661869
830,48.679162
831,48.729507
832,48.675258
833,48.686848
834,48.691247
835,48.678836
836,48.672374
837,48.67277
838,48.722834
839,48.732526
840,48.702952
841,48.698386
842,48.713321
843,48.706019
844,48.686337
845,48.663478
846,48.667986
847,48.665026
848,48.695657
849,48.692007
850,48.664873
851,48.648599
852,48.655843
853,48.667715
854,48.674927
855,48.680186
856,48.689655
857,48.689947
858,48.652976
859,48.667459
860,48.670248
861,48.675221
862,48.663039
863,48.655759
864,48.6637
865,48.653296
866,48.671069
867,48.66131
868,48.660164
869,48.644716
870,48.646048
871,48.647604
872,48.634986
873,48.640604
874,48.666046
875,48.626141
876,48.640122
877,48.640477
878,48.647683
879,48.644104
880,48.650011
881,48.65429
882,48.647466
883,48.611739
884,48.617006
885,48.645316
886,48.64322
887,48.657715
888,48.609973
889,48.603667
890,48.059939
891,48.613968
892,48.622905
893,48.644836
894,48.577469
895,48.557767
896,48.601988
897,48.605107
898,48.599799
899,48.602866
900,48.061022
